symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,name,date,type,iexId,region,currency,isEnabled,figi,cik,lei
215100.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,RoboRobo Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG0089MDPZ6,,
215200.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Megastudy Education Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG007GCJDP4,,
215360.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Woory Industrial Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG007BSZJW5,,
215380.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Woojung Bio Inc.,2023-02-08,cs,,KR,KRW,True,BBG008F9ZDC6,,
215480.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Toebox Korea Ltd.,2023-02-08,cs,,KR,KRW,True,BBG008F6PF10,,
215570.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Cronex Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00BR8RDJ0,,
215600.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Sillajen Inc,2023-02-08,cs,,KR,KRW,True,BBG00F5P6RC6,,
215620.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Heungkuk Asset Management - Heungkuk HK S&P Korea Low Volatility ETF,2023-02-08,et,IEX_4E42525248482D52,KR,KRW,True,BBG008CSZFV1,,
215790.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Inno Instrument Inc.,2023-02-08,cs,,KR,KRW,True,BBG008FF4GB0,,
216050.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Incross Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00DW13ZZ4,,
216080.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,JETEMA Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00QL54SN6,,
216400.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Invites Biocore Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG009HB4V77,,
217190.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Genesem Inc,2023-02-08,cs,,KR,KRW,True,BBG009T1Z1J5,,
217270.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Neptune Company,2023-02-08,cs,,KR,KRW,True,BBG008MR5ML1,,
217320.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Suntech Co Ltd,2023-02-08,cs,,KR,KRW,True,BBG008LMM3N4,,
217330.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Cytogen Inc.,2023-02-08,cs,,KR,KRW,True,BBG00M8WDQ55,,
217480.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,SD Biotechnologies Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00FQSNX17,,
217500.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Russell Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG008M2G354,,
217620.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Didim E&F Inc.,2023-02-08,cs,,KR,KRW,True,BBG008LRN9K2,,
217730.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Kangstem Biotech Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00BDZ1NT0,,
217770.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MIRAE Asset Tiger WTI Inverse ETF (H),2023-02-08,et,IEX_4C56373944532D52,KR,KRW,True,BBG008LN7T25,,
217780.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MIRAE Asset Tiger Synth-China A Inverse ETF,2023-02-08,et,IEX_445743525A542D52,KR,KRW,True,BBG009CLGTG2,,
217820.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Wonik Pne Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00BCB0BR3,,
217880.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Tilon Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG0096DH3D6,,
217910.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,SJ-CHEM Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00KR46420,,
217950.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Pharmaresearch Bio Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00BC1M512,,
218150.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Milae Bioresources Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG008NR7W45,,
218410.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Rfhic Corporation,2023-02-08,cs,,KR,KRW,True,BBG00963XB15,,
218420.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samsung Investment Trust Management Co. Ltd - Samsung KODEX SYNTH-US Energy ETF,2023-02-08,et,IEX_5031484C4E572D52,KR,KRW,True,BBG008LML5M1,,
219130.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Tigerelec Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG009T38ZM2,,
219390.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,KB Asset Management Co Ltd. - KB KStar SYNTH-US Oil&Gas E&P Company ETF(H),2023-02-08,et,IEX_464E363642542D52,KR,KRW,True,BBG009BHQHY7,,
219420.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Linkgenesis Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00DGM57M0,,
219480.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samsung Investment Trust Management Co. Ltd - Samsung KODEX S&P500 Futures (H) ETF,2023-02-08,et,IEX_4A53563034442D52,KR,KRW,True,BBG0099XBKH3,,
219550.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,DYD Co.Ltd.,2023-02-08,cs,,KR,KRW,True,BBG009BF2XC6,,
219900.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,"Korea Investment Trust Management Co, Ltd. - KIM ACE SYNTH-China Main Land Leverage CSI300 ETF",2023-02-08,et,IEX_56514A4B42332D52,KR,KRW,True,BBG0099SN6D6,,
220100.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,FutureChem Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG009RZCNJ9,,
220130.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Shinhan BNP Paribas Asset Management Co. Ltd - Shinhan SOL Synth-China Mainland Small & Mid Cap CSI500 ETF(H),2023-02-08,et,IEX_4E304D58595A2D52,KR,KRW,True,BBG009CD5GB5,,
220180.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Handysoft Inc.,2023-02-08,cs,,KR,KRW,True,BBG009H6FQH6,,
220180.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Handysoft Inc.,2023-02-08,cs,,KR,KRW,True,BBG009H6FQG7,,
220260.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Chemtros Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG009DXM598,,
